soc_code,weighted_beta
27-4012,0.4502081136976752
27-4014,0.4539349150089505
27-4021,0.42099665934836894
27-4031,0.39729370834296873
27-4032,0.48736173077044875
29-1011,0.3381140209090699
29-1021,0.23041004075938676
29-1022,0.0997013323993503
29-1023,0.2521657525378765
29-1024,0.039789784799827775
29-1031,0.49474302877027515
29-1041,0.2831581685832988
29-1051,0.3921881293429543
29-1071,0.3006256539670478
29-1081,0.29881494996867036
29-1122,0.16705639522932555
29-1123,0.14049136301124257
29-1124,0.24038749194736903
29-1125,0.2113657949738228
29-1126,0.17606428437528457
29-1127,0.37022699735205566
29-1128,0.3069833082485771
29-1129,0.31389067536565407
29-1131,0.1718656218417197
29-1141,0.35185241429098685
29-1151,0.1543751050193949
29-1161,0.2756832842038394
29-1171,0.46875158001709544
29-1181,0.31495341181618397
29-1211,0.2006914656794629
29-1213,0.4023318148384779
29-1214,0.4768899256457449
29-1215,0.47101537190837506
29-1216,0.4754949106754498
29-1217,0.4442936070586279
29-1218,0.38068678647100923
29-1221,0.49868479660124376
29-1222,0.4884816752577792
29-1223,0.4361261843442533
29-1224,0.5
29-1229,0.3776743102101454
29-1241,0.45392065438548584
29-1291,0.08926672565269314
29-1292,0.173027224153589
29-1299,0.4277453856780539
29-2011,0.2903125367003853
29-2012,0.19469189682949403
29-2031,0.3512616393270274
29-2032,0.28320797419040866
29-2033,0.3208772274338199
29-2034,0.38683045943703936
29-2035,0.3227760669904613
29-2036,0.4578699928617073
29-2051,0.4748737213908906
29-2052,0.3101609774951608
29-2053,0.14320105073415554
29-2055,0.021579350611225213
29-2056,0.11544112877376438
29-2057,0.35545169439798596
29-2061,0.22500057111493965
29-2081,0.2665560555059022
29-2091,0.15621676536858553
29-2092,0.20100230210464337
29-2099,0.3879675131294964
29-9091,0.21816291854267683
29-9092,0.42432213015835846
29-9093,0.050021345408830076
29-9099,0.3324491340497193
31-1121,0.058106587217405796
31-1122,0.15421367672512437
31-1131,0.05654437144650655
31-1132,0.0
31-1133,0.0715380824366968
31-2011,0.1514272576090188
31-2012,0.13285583496387457
31-2021,0.14036545798798267
31-2022,0.12208861191083437
31-9011,0.04340355003275202
31-9091,0.24020054164996005
31-9092,0.3103995473324114
31-9093,0.08217855421398983
31-9094,0.47467172857698997
31-9095,0.21477240000694553
31-9096,0.1916352589859879
31-9097,0.08552724844379393
31-9099,0.25458015292307284
33-1011,0.1613660141720276
33-1012,0.31393390282860695
33-1021,0.2095095378917652
33-1091,0.2110952893243921
33-2011,0.07301154764572126
33-2021,0.2364227063898368
33-2022,0.22369684602955586
33-3011,0.03222418371612976
33-3012,0.1313288186072507
33-3021,0.4005903098410609
33-3031,0.14307730260685564
33-3041,0.332274042476803
33-3051,0.3110277822513822
33-3052,0.16121664465658248
33-9011,0.28282688869407746
33-9021,0.47391730392908
33-9031,0.3482763122011032
33-9032,0.09744803569079666
33-9091,0.04033213737904067
33-9092,0.05131127696515564
33-9093,0.3117957481489114
33-9099,0.3463046514451363
35-1011,0.11751786606455827
35-1012,0.35317068675479885
35-2011,0.0
35-2012,0.0594841497421297
35-2013,0.1119225559578357
35-2014,0.02391773390395727
35-2015,0.0
35-2021,0.023106383417002985
35-3011,0.07377409745353045
35-3023,0.06361052840043273
35-3031,0.14146271865015148
35-3041,0.10981617592758584
35-9011,0.0
35-9021,0.0
35-9031,0.1354053499487039
37-1011,0.12674579763089547
37-1012,0.24662984200061372
37-2011,0.0
37-2012,0.0
37-2021,0.21990282273863868
37-3011,0.00728970338759866
37-3012,0.05935261101712922
37-3013,0.023988304406259976
39-1013,0.2422539778557742
39-1022,0.3693886019456004
39-2011,0.03389321745047362
39-2021,0.20094617562501974
39-3011,0.04968744324160885
39-3012,0.1659352473729407
39-3021,0.1561703608489128
39-3031,0.08782267899602385
39-3091,0.14876140552023548
39-3092,0.15658338767626717
39-3093,0.03959075800173629
39-4011,0.03785519433710955
39-4021,0.11085134247705143
39-4031,0.12189569297546643
39-5011,0.040040098779979834
39-5012,0.08003238216855976
39-5091,0.2670730600517886
39-5092,0.055996055922760954
39-5093,0.06701811036960162
39-5094,0.24289909141069685
39-6011,0.09394154518235695
39-6012,0.4081022366993937
39-7011,0.19406112355123445
39-7012,0.40267013859264555
39-9011,0.06250517442238424
39-9031,0.003929079278587554
39-9032,0.21583938255640633
39-9041,0.17277519116707013
41-1011,0.4436029119651407
41-1012,0.48360062878909427
41-2011,0.16239494839215826
41-2012,0.1301133279782021
41-2021,0.4241404983457213
41-2022,0.29587311628899954
41-2031,0.28258685239334363
41-3011,0.4867555487904359
41-3021,0.5
41-3031,0.5
